question,ar,en,es,it,de,tr,ru,ur,fa,fr,in
I often reflect on past experiences and their significance.,كثيرا ما أفكر في التجارب السابقة وأهميتها.,I often reflect on past experiences and their significance.,A menudo reflexiono sobre experiencias pasadas y su significado.,Rifletto spesso sulle esperienze passate e sul loro significato.,Ich denke oft über vergangene Erfahrungen und deren Bedeutung nach.,Sık sık geçmiş deneyimler ve bunların önemi üzerine düşünürüm.,Я часто размышляю о прошлом опыте и его значении.,میں اکثر ماضی کے تجربات اور ان کی اہمیت پر غور کرتا ہوں۔,من اغلب به تجربیات گذشته و اهمیت آنها فکر می کنم.,Je réfléchis souvent aux expériences passées et à leur signification.,मैं अक्सर पिछले अनुभवों और उनके महत्व पर विचार करता हूं।
I am patient and tolerant of others' shortcomings.,أنا صبور ومتسامح مع عيوب الآخرين.,I am patient and tolerant of others' shortcomings.,Soy paciente y tolerante con las deficiencias de los demás.,Sono paziente e tollerante verso i difetti degli altri.,Ich bin geduldig und tolerant gegenüber den Unzulänglichkeiten anderer.,Başkalarının kusurlarına karşı sabırlı ve hoşgörülüyüm.,Я терпелив и терпим к недостаткам других.,میں صبر اور دوسروں کی کوتاہیوں کو برداشت کرنے والا ہوں۔,من صبورم و نسبت به کاستی های دیگران مدارا می کنم.,Je suis patient et tolérant envers les défauts des autres.,मैं दूसरों की कमियों के प्रति धैर्यवान और सहनशील हूं।
I am goal-oriented and work tirelessly to achieve success.,أنا موجه نحو الهدف وأعمل بلا كلل لتحقيق النجاح.,I am goal-oriented and work tirelessly to achieve success.,Estoy orientado a objetivos y trabajo incansablemente para lograr el éxito.,Sono orientato agli obiettivi e lavoro instancabilmente per raggiungere il successo.,Ich bin zielorientiert und arbeite unermüdlich für den Erfolg.,Hedef odaklıyım ve başarıya ulaşmak için yorulmadan çalışıyorum.,Я целеустремлен и неустанно работаю для достижения успеха.,میں مقصد پر مبنی ہوں اور کامیابی حاصل کرنے کے لیے انتھک محنت کرتا ہوں۔,من هدف گرا هستم و خستگی ناپذیر برای رسیدن به موفقیت تلاش می کنم.,Je suis axé sur les objectifs et je travaille sans relâche pour réussir.,मैं लक्ष्य-उन्मुख हूं और सफलता पाने के लिए अथक परिश्रम करता हूं।
I am cautious and consider consequences before acting.,أنا حذر وأفكر في العواقب قبل التصرف.,I am cautious and consider consequences before acting.,Soy cauteloso y considero las consecuencias antes de actuar.,Sono cauto e considero le conseguenze prima di agire.,"Ich bin vorsichtig und denke über die Konsequenzen nach, bevor ich handele.",Dikkatliyim ve harekete geçmeden önce sonuçları dikkate alıyorum.,"Я осторожен и обдумываю последствия, прежде чем действовать.",میں محتاط ہوں اور کام کرنے سے پہلے نتائج پر غور کرتا ہوں۔,من محتاط هستم و قبل از اقدام به عواقب آن فکر می کنم.,Je suis prudent et réfléchis aux conséquences avant d’agir.,मैं सतर्क हूं और कार्रवाई करने से पहले परिणामों पर विचार करता हूं।
I prefer to avoid conflicts and seek peaceful resolutions.,أفضل تجنب الصراعات والبحث عن حلول سلمية.,I prefer to avoid conflicts and seek peaceful resolutions.,Prefiero evitar conflictos y buscar soluciones pacíficas.,Preferisco evitare i conflitti e cercare soluzioni pacifiche.,"Ich bevorzuge es, Konflikten aus dem Weg zu gehen und nach friedlichen Lösungen zu suchen.",Çatışmalardan kaçınmayı ve barışçıl çözümler aramayı tercih ederim.,Я предпочитаю избегать конфликтов и искать мирные решения.,میں تنازعات سے بچنے اور پرامن حل تلاش کرنے کو ترجیح دیتا ہوں۔,من ترجیح می دهم از درگیری اجتناب کنم و به دنبال راه حل های مسالمت آمیز باشم.,Je préfère éviter les conflits et rechercher des solutions pacifiques.,मैं संघर्षों से बचना और शांतिपूर्ण समाधान तलाशना पसंद करता हूँ।
I am sociable and enjoy engaging in conversations.,أنا اجتماعي وأستمتع بالمشاركة في المحادثات.,I am sociable and enjoy engaging in conversations.,Soy sociable y disfruto entablar conversaciones.,Sono socievole e mi piace partecipare alle conversazioni.,Ich bin kontaktfreudig und führe gerne Gespräche.,Sosyal biriyim ve sohbet etmekten keyif alıyorum.,Я общительный и люблю участвовать в разговорах.,میں ملنسار ہوں اور بات چیت میں مشغول ہونے سے لطف اندوز ہوتا ہوں۔,من اجتماعی هستم و از شرکت در گفتگو لذت می برم.,Je suis sociable et j'aime engager des conversations.,मैं मिलनसार हूं और बातचीत में शामिल होना पसंद करता हूं।
I am driven and assertive in pursuing my objectives.,أنا مدفوع وحازم في متابعة أهدافي.,I am driven and assertive in pursuing my objectives.,Soy motivado y asertivo en la consecución de mis objetivos.,Sono determinato e determinato nel perseguire i miei obiettivi.,Ich verfolge meine Ziele motiviert und selbstbewusst.,Hedeflerime ulaşma konusunda kararlı ve iddialıyım.,Я целеустремлён и настойчив в достижении своих целей.,میں اپنے مقاصد کو حاصل کرنے میں پرعزم اور پرعزم ہوں۔,من در تعقیب اهدافم محرک و قاطع هستم.,Je suis motivé et assertif dans la poursuite de mes objectifs.,मैं अपने उद्देश्यों को आगे बढ़ाने के लिए प्रेरित और दृढ़ हूं।
I am sensitive and deeply affected by emotional experiences.,أنا حساس وأتأثر بشدة بالتجارب العاطفية.,I am sensitive and deeply affected by emotional experiences.,Soy sensible y profundamente afectado por las experiencias emocionales.,Sono sensibile e profondamente influenzato dalle esperienze emotive.,Ich bin sensibel und von emotionalen Erfahrungen tief berührt.,Duygusal deneyimlerden hassasım ve derinden etkileniyorum.,Я чувствителен и глубоко затронут эмоциональными переживаниями.,میں حساس ہوں اور جذباتی تجربات سے بہت متاثر ہوں۔,من حساس هستم و عمیقاً تحت تأثیر تجربیات عاطفی هستم.,Je suis sensible et profondément affecté par les expériences émotionnelles.,मैं संवेदनशील हूं और भावनात्मक अनुभवों से गहराई से प्रभावित हूं।
I thrive in social environments and enjoy being around others.,أنا أزدهر في البيئات الاجتماعية وأستمتع بالتواجد حول الآخرين.,I thrive in social environments and enjoy being around others.,Prospero en entornos sociales y disfruto estar rodeado de otras personas.,Mi trovo bene negli ambienti sociali e mi piace stare con gli altri.,"Ich gedeihe in sozialen Umgebungen und genieße es, mit anderen zusammen zu sein.",Sosyal ortamlarda gelişiyorum ve başkalarının yanında olmaktan keyif alıyorum.,Я преуспеваю в социальной среде и мне нравится находиться среди других.,میں سماجی ماحول میں ترقی کرتا ہوں اور دوسروں کے آس پاس رہنے سے لطف اندوز ہوتا ہوں۔,من در محیط های اجتماعی پیشرفت می کنم و از بودن در کنار دیگران لذت می برم.,Je m'épanouis dans les environnements sociaux et j'aime être avec les autres.,मैं सामाजिक वातावरण में पनपता हूं और दूसरों के आसपास रहने का आनंद लेता हूं।
I am determined and focused on reaching my goals.,أنا مصمم وأركز على تحقيق أهدافي.,I am determined and focused on reaching my goals.,Soy decidido y enfocado en alcanzar mis metas.,Sono determinato e concentrato nel raggiungere i miei obiettivi.,"Ich bin zielstrebig und konzentriert darauf, meine Ziele zu erreichen.",Hedeflerime ulaşma konusunda kararlıyım ve odaklandım.,Я полон решимости и сосредоточен на достижении своих целей.,میں اپنے اہداف تک پہنچنے پر پرعزم اور مرکوز ہوں۔,برای رسیدن به اهدافم مصمم و متمرکز هستم.,Je suis déterminé et concentré sur l'atteinte de mes objectifs.,मैं अपने लक्ष्यों तक पहुंचने के लिए दृढ़ संकल्पित और केंद्रित हूं।
I am introspective and often analyze my thoughts and feelings.,أنا استبطاني وكثيرًا ما أقوم بتحليل أفكاري ومشاعري.,I am introspective and often analyze my thoughts and feelings.,Soy introspectivo y a menudo analizo mis pensamientos y sentimientos.,Sono introspettivo e spesso analizzo i miei pensieri e sentimenti.,Ich bin introspektiv und analysiere oft meine Gedanken und Gefühle.,İçe dönük biriyim ve sıklıkla düşüncelerimi ve duygularımı analiz ederim.,Я интроспективен и часто анализирую свои мысли и чувства.,میں خود شناس ہوں اور اکثر اپنے خیالات اور احساسات کا تجزیہ کرتا ہوں۔,من درون نگر هستم و اغلب افکار و احساساتم را تحلیل می کنم.,Je suis introspectif et analyse souvent mes pensées et mes sentiments.,मैं आत्मविश्लेषी हूं और अक्सर अपने विचारों और भावनाओं का विश्लेषण करता हूं।
I am composed and rarely show my emotions outwardly.,أنا هادئ ونادرًا ما أظهر مشاعري للخارج.,I am composed and rarely show my emotions outwardly.,Soy sereno y rara vez muestro mis emociones exteriormente.,Sono composto e raramente mostro le mie emozioni all'esterno.,Ich bin gelassen und zeige meine Gefühle selten nach außen.,Sakinim ve duygularımı nadiren dışa vururum.,Я спокоен и редко показываю свои эмоции внешне.,میں کمپوز ہوں اور شاذ و نادر ہی اپنے جذبات کو ظاہری طور پر ظاہر کرتا ہوں۔,من خونسرد هستم و به ندرت احساساتم را در ظاهر نشان می دهم.,Je suis calme et je montre rarement mes émotions extérieurement.,मैं संयमित हूं और शायद ही कभी अपनी भावनाओं को बाहर दिखाता हूं।
I am self-critical and strive for personal improvement.,أنا أنتقد ذاتي وأسعى إلى تحسين شخصيتي.,I am self-critical and strive for personal improvement.,Soy autocrítico y busco la superación personal.,Sono autocritico e cerco il miglioramento personale.,Ich bin selbstkritisch und strebe nach persönlicher Verbesserung.,Kendimi eleştiriyorum ve kişisel gelişim için çabalıyorum.,Я самокритичен и стремлюсь к личному совершенствованию.,میں خود تنقیدی ہوں اور ذاتی بہتری کے لیے کوشاں ہوں۔,من خود انتقادی هستم و برای پیشرفت شخصی تلاش می کنم.,Je suis autocritique et m'efforce de m'améliorer personnellement.,मैं आत्म-आलोचक हूं और व्यक्तिगत सुधार के लिए प्रयासरत हूं।
I am easy to get along with and avoid conflicts.,أنا من السهل أن أتعايش مع الصراعات وأتجنبها.,I am easy to get along with and avoid conflicts.,Soy fácil de tratar y evito conflictos.,È facile andare d'accordo con me ed evitare i conflitti.,Mit mir komme ich gut klar und vermeide Konflikte.,Kolayca anlaşırım ve çatışmalardan kaçınırım.,Со мной легко ладить и избегать конфликтов.,میرے ساتھ ملنا اور تنازعات سے بچنا آسان ہے۔,من به راحتی می توانم با من کنار بیایم و از درگیری اجتناب کنم.,Je suis facile à vivre et j'évite les conflits.,मेरे साथ मिलना-जुलना और झगड़ों से बचना आसान है।
I enjoy spontaneous adventures and trying new things.,أنا أستمتع بالمغامرات العفوية ومحاولة أشياء جديدة.,I enjoy spontaneous adventures and trying new things.,Disfruto de aventuras espontáneas y probar cosas nuevas.,Mi piacciono le avventure spontanee e provare cose nuove.,Ich genieße spontane Abenteuer und das Ausprobieren neuer Dinge.,Spontane maceralardan ve yeni şeyler denemekten hoşlanırım.,Мне нравятся спонтанные приключения и пробовать что-то новое.,میں بے ساختہ مہم جوئی اور نئی چیزوں کو آزمانے سے لطف اندوز ہوتا ہوں۔,از ماجراجویی های خودجوش و امتحان چیزهای جدید لذت می برم.,J'aime les aventures spontanées et essayer de nouvelles choses.,मैं सहज रोमांचों और नई चीज़ों को आज़माने का आनंद लेता हूँ।
I am driven and ambitious in all my endeavors.,أنا مدفوعة وطموحة في كل مساعي.,I am driven and ambitious in all my endeavors.,Soy motivado y ambicioso en todos mis esfuerzos.,Sono motivato e ambizioso in tutti i miei sforzi.,Ich bin in all meinen Unternehmungen ehrgeizig und ehrgeizig.,Tüm çabalarımda azimli ve hırslıyım.,Я целеустремлен и амбициозен во всех своих начинаниях.,میں اپنی تمام کوششوں میں متحرک اور پرجوش ہوں۔,من در تمام تلاش هایم رانده و جاه طلب هستم.,Je suis motivé et ambitieux dans tous mes efforts.,मैं अपने सभी प्रयासों में प्रेरित और महत्वाकांक्षी हूं।
I am introspective and enjoy delving into deep conversations.,أنا متفحص وأستمتع بالخوض في محادثات عميقة.,I am introspective and enjoy delving into deep conversations.,Soy introspectivo y disfruto profundizar en conversaciones profundas.,Sono introspettivo e mi piace approfondire conversazioni profonde.,"Ich bin introspektiv und genieße es, tiefgründige Gespräche zu führen.",İçe dönük biriyim ve derin sohbetlere dalmaktan keyif alıyorum.,Я занимаюсь самоанализом и люблю погружаться в глубокие разговоры.,میں خود شناس ہوں اور گہری گفتگو میں دلچسپی لیتا ہوں۔,من درونگرا هستم و از غوطه ور شدن در مکالمات عمیق لذت می برم.,Je suis introspectif et j'aime me plonger dans des conversations profondes.,मैं आत्मविश्लेषी हूं और गहरी बातचीत में शामिल होने का आनंद लेता हूं।
I am patient and understanding with others.,أنا صبور ومتفهم مع الآخرين.,I am patient and understanding with others.,Soy paciente y comprensivo con los demás.,Sono paziente e comprensivo con gli altri.,Ich bin geduldig und verständnisvoll mit anderen.,Başkalarına karşı sabırlı ve anlayışlıyım.,Я терпелив и понимаю других.,میں صبر کرتا ہوں اور دوسروں کے ساتھ سمجھتا ہوں۔,من با دیگران صبور و فهمیده هستم.,Je suis patient et compréhensif avec les autres.,मैं धैर्यवान हूं और दूसरों को समझता हूं।
I am sociable and enjoy making new friends.,أنا اجتماعي وأستمتع بتكوين صداقات جديدة.,I am sociable and enjoy making new friends.,Soy sociable y disfruto haciendo nuevos amigos.,Sono socievole e mi piace fare nuove amicizie.,Ich bin kontaktfreudig und lerne gerne neue Freunde kennen.,Sosyal biriyim ve yeni arkadaşlar edinmekten keyif alıyorum.,Я общительный и люблю заводить новых друзей.,میں ملنسار ہوں اور نئے دوست بنانے سے لطف اندوز ہوں۔,من اجتماعی هستم و از پیدا کردن دوستان جدید لذت می برم.,Je suis sociable et j'aime me faire de nouveaux amis.,मैं मिलनसार हूं और नए दोस्त बनाने का आनंद लेता हूं।
I am assertive and often take on leadership roles.,أنا حازم وغالبًا ما أتولى أدوارًا قيادية.,I am assertive and often take on leadership roles.,Soy asertivo y a menudo asumo roles de liderazgo.,Sono assertivo e spesso assumo ruoli di leadership.,Ich bin durchsetzungsfähig und übernehme oft Führungsrollen.,İddialıyım ve sıklıkla liderlik rolleri üstleniyorum.,Я напорист и часто беру на себя руководящие роли.,میں ثابت قدم ہوں اور اکثر قائدانہ کردار ادا کرتا ہوں۔,من قاطع هستم و اغلب نقش های رهبری را بر عهده می گیرم.,Je suis assertif et j'assume souvent des rôles de leadership.,मैं दृढ़ निश्चयी हूं और अक्सर नेतृत्व की भूमिकाएं निभाता हूं।
I am sensitive to others' emotions and empathize with them.,أنا حساس لمشاعر الآخرين وأتعاطف معهم.,I am sensitive to others' emotions and empathize with them.,Soy sensible a las emociones de los demás y empatizo con ellos.,Sono sensibile alle emozioni degli altri e provo empatia con loro.,Ich bin sensibel für die Gefühle anderer und kann mich in sie hineinversetzen.,Başkalarının duygularına duyarlıyım ve onlarla empati kuruyorum.,Я чувствителен к эмоциям других и сопереживаю им.,میں دوسروں کے جذبات کے لیے حساس ہوں اور ان کے ساتھ ہمدردی رکھتا ہوں۔,من نسبت به احساسات دیگران حساس هستم و با آنها همدردی می کنم.,Je suis sensible aux émotions des autres et je sympathise avec eux.,मैं दूसरों की भावनाओं के प्रति संवेदनशील हूं और उनके प्रति सहानुभूति रखता हूं।
I am laid-back and prefer to avoid conflicts.,أنا مسترخي وأفضل تجنب الصراعات.,I am laid-back and prefer to avoid conflicts.,Soy tranquila y prefiero evitar conflictos.,Sono rilassato e preferisco evitare i conflitti.,Ich bin entspannt und gehe Konflikten lieber aus dem Weg.,Rahat biriyim ve çatışmalardan kaçınmayı tercih ederim.,Я спокойный и предпочитаю избегать конфликтов.,میں آرام سے ہوں اور تنازعات سے بچنے کو ترجیح دیتا ہوں۔,من آرام هستم و ترجیح می دهم از درگیری اجتناب کنم.,Je suis décontracté et préfère éviter les conflits.,मैं शांतचित्त हूं और विवादों से बचना पसंद करता हूं।
I am outgoing and enjoy being in the spotlight.,أنا صادرة وأستمتع بكوني في دائرة الضوء.,I am outgoing and enjoy being in the spotlight.,Soy extrovertida y disfruto ser el centro de atención.,Sono estroverso e mi piace stare sotto i riflettori.,"Ich bin kontaktfreudig und genieße es, im Rampenlicht zu stehen.",Dışa dönük biriyim ve ilgi odağı olmaktan keyif alıyorum.,Я общительный и люблю быть в центре внимания.,میں سبکدوش ہوں اور اسپاٹ لائٹ میں رہنے سے لطف اندوز ہوں۔,من برون گرا هستم و از بودن در کانون توجه لذت می برم.,Je suis extraverti et j'aime être sous les projecteurs.,मैं मिलनसार हूं और सुर्खियों में रहना पसंद करता हूं।
I am determined and persistent in achieving my goals.,أنا مصمم ومثابر على تحقيق أهدافي.,I am determined and persistent in achieving my goals.,Soy decidido y persistente en el logro de mis objetivos.,Sono determinato e tenace nel raggiungere i miei obiettivi.,"Ich bin zielstrebig und beharrlich dabei, meine Ziele zu erreichen.",Hedeflerime ulaşma konusunda kararlı ve ısrarcıyım.,Я решительный и настойчивый в достижении своих целей.,میں اپنے مقاصد کے حصول کے لیے پرعزم اور ثابت قدم ہوں۔,در رسیدن به اهدافم مصمم و پیگیر هستم.,Je suis déterminé et persévérant dans l'atteinte de mes objectifs.,मैं अपने लक्ष्यों को प्राप्त करने के लिए दृढ़ और दृढ़ हूं।
I am introspective and often reflect on my experiences.,أنا استبطاني وغالباً ما أفكر في تجاربي.,I am introspective and often reflect on my experiences.,Soy introspectivo y a menudo reflexiono sobre mis experiencias.,Sono introspettivo e rifletto spesso sulle mie esperienze.,Ich bin introspektiv und denke oft über meine Erfahrungen nach.,İçe dönük biriyim ve sıklıkla deneyimlerim üzerine düşünürüm.,Я интроспективен и часто размышляю о своем опыте.,میں خود شناس ہوں اور اکثر اپنے تجربات پر غور کرتا ہوں۔,من درون نگر هستم و اغلب به تجربیاتم فکر می کنم.,Je suis introspectif et réfléchis souvent à mes expériences.,मैं आत्मविश्लेषी हूं और अक्सर अपने अनुभवों पर विचार करता हूं।
I am adaptable and can adjust to changing circumstances.,أنا قادر على التكيف ويمكنني التكيف مع الظروف المتغيرة.,I am adaptable and can adjust to changing circumstances.,Soy adaptable y puedo adaptarme a circunstancias cambiantes.,Sono adattabile e posso adattarmi alle mutevoli circostanze.,Ich bin anpassungsfähig und kann mich an veränderte Umstände anpassen.,Değişen koşullara uyum sağlayabilirim ve uyum sağlayabilirim.,Я адаптируюсь и могу приспособиться к меняющимся обстоятельствам.,میں موافق ہوں اور بدلتے ہوئے حالات سے مطابقت رکھتا ہوں۔,من سازگار هستم و می توانم خود را با شرایط در حال تغییر وفق دهم.,Je suis adaptable et peux m'adapter aux circonstances changeantes.,मैं अनुकूलनीय हूं और बदलती परिस्थितियों के साथ तालमेल बिठा सकता हूं।
I enjoy social interactions and meeting new people.,أنا أستمتع بالتفاعلات الاجتماعية والتعرف على أشخاص جدد.,I enjoy social interactions and meeting new people.,Disfruto de las interacciones sociales y conocer gente nueva.,Mi piacciono le interazioni sociali e incontrare nuove persone.,Ich genieße soziale Interaktionen und lerne neue Leute kennen.,Sosyal etkileşimlerden ve yeni insanlarla tanışmaktan hoşlanırım.,Мне нравится общение и знакомство с новыми людьми.,میں سماجی میل جول اور نئے لوگوں سے ملنا پسند کرتا ہوں۔,از تعاملات اجتماعی و ملاقات با افراد جدید لذت می برم.,J'apprécie les interactions sociales et rencontrer de nouvelles personnes.,मुझे सामाजिक मेलजोल और नए लोगों से मिलना अच्छा लगता है।
I am sensitive and often deeply affected by emotional experiences.,أنا حساس وغالباً ما أتأثر بشدة بالتجارب العاطفية.,I am sensitive and often deeply affected by emotional experiences.,Soy sensible y a menudo me afectan profundamente las experiencias emocionales.,Sono sensibile e spesso profondamente influenzato dalle esperienze emotive.,Ich bin sensibel und oft tief berührt von emotionalen Erlebnissen.,Hassas biriyim ve çoğu zaman duygusal deneyimlerden derinden etkileniyorum.,Я чувствителен и часто глубоко затронут эмоциональными переживаниями.,میں حساس ہوں اور اکثر جذباتی تجربات سے بہت متاثر ہوتا ہوں۔,من حساس هستم و اغلب عمیقاً تحت تأثیر تجربیات عاطفی هستم.,Je suis sensible et souvent profondément affecté par les expériences émotionnelles.,मैं संवेदनशील हूं और अक्सर भावनात्मक अनुभवों से गहराई से प्रभावित होता हूं।
I am patient and calm in most situations.,أنا صبور وهادئ في معظم المواقف.,I am patient and calm in most situations.,Soy paciente y tranquilo en la mayoría de las situaciones.,Sono paziente e calmo nella maggior parte delle situazioni.,Ich bin in den meisten Situationen geduldig und ruhig.,Çoğu durumda sabırlı ve sakinim.,Я терпелив и спокоен в большинстве ситуаций.,میں زیادہ تر حالات میں صبر اور پرسکون ہوں۔,من در اکثر شرایط صبور و آرام هستم.,Je suis patient et calme dans la plupart des situations.,मैं अधिकांश स्थितियों में धैर्यवान और शांत रहता हूं।
I am usually optimistic and see the bright side of things.,أنا عادة متفائل وأرى الجانب المشرق من الأمور.,I am usually optimistic and see the bright side of things.,Normalmente soy optimista y veo el lado bueno de las cosas.,Di solito sono ottimista e vedo il lato positivo delle cose.,Normalerweise bin ich optimistisch und sehe die positive Seite der Dinge.,Genellikle iyimserim ve olayların iyi tarafını görüyorum.,Я обычно оптимистичен и вижу светлую сторону вещей.,میں عام طور پر پر امید ہوں اور چیزوں کا روشن پہلو دیکھتا ہوں۔,من معمولاً خوشبین هستم و جنبه های مثبت همه چیز را می بینم.,Je suis généralement optimiste et je vois le bon côté des choses.,मैं आमतौर पर आशावादी हूं और चीजों का उजला पक्ष देखता हूं।
I enjoy taking charge and being in control of situations.,أنا أستمتع بتحمل المسؤولية والسيطرة على المواقف.,I enjoy taking charge and being in control of situations.,Disfruto haciéndome cargo y teniendo el control de las situaciones.,Mi piace assumermi la responsabilità e avere il controllo delle situazioni.,"Es macht mir Spaß, Verantwortung zu übernehmen und Situationen unter Kontrolle zu haben.",Sorumluluk almaktan ve durumları kontrol altında tutmaktan hoşlanırım.,Мне нравится брать на себя ответственность и контролировать ситуацию.,مجھے چارج سنبھالنے اور حالات پر قابو پانے میں لطف آتا ہے۔,من از به عهده گرفتن مسئولیت و کنترل موقعیت ها لذت می برم.,J'aime prendre les choses en main et contrôler les situations.,मुझे कार्यभार संभालने और स्थितियों पर नियंत्रण रखने में आनंद आता है।
I often reflect on my past experiences and learn from them.,كثيرا ما أفكر في تجاربي السابقة وأتعلم منها.,I often reflect on my past experiences and learn from them.,A menudo reflexiono sobre mis experiencias pasadas y aprendo de ellas.,Rifletto spesso sulle mie esperienze passate e imparo da esse.,Ich denke oft über meine vergangenen Erfahrungen nach und lerne daraus.,Sık sık geçmiş deneyimlerim üzerine düşünürüm ve onlardan öğrenirim.,Я часто размышляю о своем прошлом опыте и учусь на нем.,میں اکثر اپنے ماضی کے تجربات پر غور کرتا ہوں اور ان سے سیکھتا ہوں۔,من اغلب به تجربیات گذشته خود فکر می کنم و از آنها درس می گیرم.,Je réfléchis souvent à mes expériences passées et j’en tire des leçons.,मैं अक्सर अपने पिछले अनुभवों पर विचार करता हूं और उनसे सीखता हूं।
I prefer to avoid conflicts and maintain harmony in relationships.,أفضل تجنب الصراعات والحفاظ على الانسجام في العلاقات.,I prefer to avoid conflicts and maintain harmony in relationships.,Prefiero evitar conflictos y mantener la armonía en las relaciones.,Preferisco evitare i conflitti e mantenere l'armonia nelle relazioni.,"Ich bevorzuge es, Konflikte zu vermeiden und Harmonie in Beziehungen zu wahren.",İlişkilerde çatışmalardan kaçınmayı ve uyumu sürdürmeyi tercih ederim.,Я предпочитаю избегать конфликтов и сохранять гармонию в отношениях.,میں تنازعات سے بچنے اور تعلقات میں ہم آہنگی برقرار رکھنے کو ترجیح دیتا ہوں۔,من ترجیح می دهم از درگیری اجتناب کنم و هماهنگی را در روابط حفظ کنم.,Je préfère éviter les conflits et maintenir l'harmonie dans les relations.,मैं झगड़ों से बचना और रिश्तों में सामंजस्य बनाए रखना पसंद करता हूं।
I am outgoing and enjoy socializing with a wide range of people.,أنا الصادرة والاستمتاع بالتعارف مع مجموعة واسعة من الناس.,I am outgoing and enjoy socializing with a wide range of people.,Soy extrovertida y disfruto socializar con una amplia gama de personas.,Sono estroverso e mi piace socializzare con una vasta gamma di persone.,"Ich bin kontaktfreudig und genieße es, mit den unterschiedlichsten Menschen in Kontakt zu kommen.",Dışa dönük biriyim ve çok çeşitli insanlarla sosyalleşmekten keyif alıyorum.,Я общительный и люблю общаться с широким кругом людей.,میں سبکدوش ہوں اور لوگوں کی ایک وسیع رینج کے ساتھ مل جل کر لطف اندوز ہوں۔,من اهل معاشرت هستم و از معاشرت با طیف وسیعی از مردم لذت می برم.,Je suis extraverti et j'aime socialiser avec un large éventail de personnes.,मैं मिलनसार हूं और विभिन्न प्रकार के लोगों के साथ मेलजोल का आनंद लेता हूं।
I am driven by goals and enjoy challenging myself.,أنا مدفوع بالأهداف وأستمتع بتحدي نفسي.,I am driven by goals and enjoy challenging myself.,Me mueven los objetivos y disfruto desafiándome a mí mismo.,Sono guidato dagli obiettivi e mi piace sfidare me stesso.,"Ich werde von Zielen angetrieben und genieße es, mich selbst herauszufordern.",Hedefler beni yönlendiriyor ve kendime meydan okumaktan keyif alıyorum.,"Меня движут цели, и мне нравится бросать себе вызов.",میں اہداف سے چلتا ہوں اور اپنے آپ کو چیلنج کرنے سے لطف اندوز ہوتا ہوں۔,من با اهداف هدایت می شوم و از به چالش کشیدن خودم لذت می برم.,Je suis motivé par des objectifs et j'aime me mettre au défi.,मैं लक्ष्यों से प्रेरित हूं और खुद को चुनौती देने का आनंद लेता हूं।
I am thoughtful and introspective often analyzing my thoughts and feelings.,أنا مدروس واستبطاني كثيرًا ما أقوم بتحليل أفكاري ومشاعري.,I am thoughtful and introspective often analyzing my thoughts and feelings.,Soy reflexivo e introspectivo analizando a menudo mis pensamientos y sentimientos.,"Sono riflessivo e introspettivo, spesso analizzo i miei pensieri e sentimenti.",Ich bin nachdenklich und introspektiv und analysiere oft meine Gedanken und Gefühle.,"Düşünceli ve içe dönük biriyim, sıklıkla düşüncelerimi ve duygularımı analiz ederim.","Я вдумчив и склонен к самоанализу, часто анализирую свои мысли и чувства.",میں سوچ سمجھ کر اور خود شناسی سے اکثر اپنے خیالات اور احساسات کا تجزیہ کرتا ہوں۔,من متفکر و درون نگر هستم و اغلب افکار و احساساتم را تجزیه و تحلیل می کنم.,"Je suis réfléchi et introspectif, analysant souvent mes pensées et mes sentiments.",मैं विचारशील और आत्मविश्लेषी हूं और अक्सर अपने विचारों और भावनाओं का विश्लेषण करता हूं।
I am calm and composed even in stressful situations.,أنا هادئ ومتماسك حتى في المواقف العصيبة.,I am calm and composed even in stressful situations.,Estoy tranquilo y sereno incluso en situaciones estresantes.,Sono calmo e composto anche in situazioni stressanti.,Auch in stressigen Situationen bin ich ruhig und gelassen.,Stresli durumlarda bile sakin ve sakinim.,Я спокоен и собран даже в стрессовых ситуациях.,میں دباؤ والے حالات میں بھی پرسکون اور پر سکون ہوں۔,من حتی در شرایط استرس زا آرام و خونسرد هستم.,Je suis calme et posé même dans des situations stressantes.,मैं तनावपूर्ण स्थितियों में भी शांत और संयमित रहता हूं।
I thrive in social situations and enjoy meeting new people.,أنا أزدهر في المواقف الاجتماعية وأستمتع بمقابلة أشخاص جدد.,I thrive in social situations and enjoy meeting new people.,Prospero en situaciones sociales y disfruto conocer gente nueva.,Mi trovo bene nelle situazioni sociali e mi piace incontrare nuove persone.,"Ich fühle mich in sozialen Situationen wohl und genieße es, neue Leute kennenzulernen.",Sosyal ortamlarda başarılı oluyorum ve yeni insanlarla tanışmaktan keyif alıyorum.,Я преуспеваю в социальных ситуациях и люблю знакомиться с новыми людьми.,میں سماجی حالات میں ترقی کرتا ہوں اور نئے لوگوں سے مل کر لطف اندوز ہوتا ہوں۔,من در موقعیت های اجتماعی پیشرفت می کنم و از ملاقات با افراد جدید لذت می برم.,Je m'épanouit dans les situations sociales et j'aime rencontrer de nouvelles personnes.,मैं सामाजिक परिस्थितियों में पनपता हूं और नए लोगों से मिलने का आनंद लेता हूं।
