sympol,ar,en,es,it,ur,fr,de,tr,ru,fa
تعظيم الله وتعظيمه في الرحلة,تعظيم الله وتعظيمه في الرحلة,Greatness and glorification of God on the trip,Grandeza y glorificación de Dios en el viaje,Grandezza e glorificazione di Dio durante il viaggio,سفر پر خدا کی عظمت اور تسبیح,Grandeur et glorification de Dieu pendant le voyage,Größe und Verherrlichung Gottes auf der Reise,Yolculukta Tanrı'nın büyüklüğü ve yüceltilmesi,Величие и прославление Бога в поездке,عظمت و تجلیل از خدا در سفر
دعاء المقيم للمسافر,دعاء المقيم للمسافر,Doaa resident of the traveler,DOAA Residente del viajero,DOAA residente del viaggiatore,مسافر کا رہائشی دووا,Doaa résident du voyageur,DOAA -Bewohner des Reisenden,DOAA Gezgin sakini,Доаа житель путешественника,دوا ساکن مسافر
دعاء الركوب على المركبة أو على الحيوان,دعاء الركوب على المركبة أو على الحيوان,Prayer riding on the vehicle or on the animal,Oración que viaja en el vehículo o en el animal,Preghiera cavalcando sul veicolo o sull'animale,گاڑی پر یا جانور پر سوار نماز,Prière de la prière sur le véhicule ou sur l'animal,"Gebet, das auf dem Fahrzeug oder auf dem Tier fährt",Araçta veya hayvana binmek,Молитва ездит на автомобиле или на животное,نماز سوار بر وسیله نقلیه یا حیوان
دعاء المسافر عند الفجر,دعاء المسافر عند الفجر,Doaa traveler at dawn,Doaa viajero al amanecer,DOAA Viaggiatore all'alba,ڈان کے وقت دووا مسافر,Doaa Traveler à l'aube,DOAA -Reisender im Morgengrauen,Dawn'da Doaa Traveler,Доаа путешественник на рассвете,مسافر Doaa در سپیده دم
ماذا أقول عند العودة من السفر,ماذا أقول عند العودة من السفر,What do I say when returning from travel,¿Qué digo al regresar de viajar?,Cosa dico quando torno dal viaggio,سفر سے واپس آنے پر میں کیا کہوں؟,Que dis-je à son retour de voyage,"Was sage ich, wenn ich von der Reise zurückkomme?",Seyahatten dönerken ne diyorum,"Что мне сказать, возвращаясь из путешествия",هنگام بازگشت از سفر چه می گویم
دعاء عند نزول المطر,دعاء عند نزول المطر,A prayer when rain descends,Una oración cuando la lluvia desciende,Una preghiera quando la pioggia scende,ایک دعا جب بارش اترتی ہے,Une prière lorsque la pluie descend,"Ein Gebet, wenn Regen absteigt",Yağmur indiğinde bir dua,"Молитва, когда дождь спускается",دعا وقتی باران می رود
دعاء عند هبوب الريح,دعاء عند هبوب الريح,Doaa when the wind blows,Doaa cuando sopla el viento,Doaa quando soffia il vento,جب ہوا چلتی ہے تو doaa,Doaa quand le vent souffle,"DOAA, wenn der Wind weht",Doaa rüzgar esiyor,"DOAA, когда дует ветер",دوا وقتی باد می وزد
دعاء عند الرعد,دعاء عند الرعد,A supplication when thunder,Una súplica cuando el trueno,Una supplica quando il tuono,جب گرج,Une supplication quand le tonnerre,Ein Flehen beim Donner,Gök gürültüsü,"Просьба, когда гром",یک دعای هنگام رعد و برق
بعض أدعية نزول المطر,بعض أدعية نزول المطر,Some of the supplications of rain,Algunas de las súplicas de la lluvia,Alcune delle suppliche di pioggia,بارش کی کچھ فراہمی,Certaines des supplications de la pluie,Einige der Regenflächen des Regens,Yağmurun bazıları,Некоторые из дождей,برخی از دعاوی باران
الدعاء بعد نزول المطر,الدعاء بعد نزول المطر,Supplication after rain descends,La súplica después de la lluvia desciende,Supplica dopo che la pioggia scende,بارش کے اترنے کے بعد درخواست,Supplication après la pluie descend,Flehen nach dem Regen steigt ab,Yağmurdan sonra displicing,Просьба после дождя спускается,دعا پس از پایین آمدن باران
دعاء للعريس,دعاء للعريس,A prayer for the groom,Una oración por el novio,Una preghiera per lo sposo,دولہا کے لئے دعا,Une prière pour le marié,Ein Gebet für den Bräutigam,Damat için bir dua,Молитва за жених,دعایی برای داماد
كيفية طلب حماية الله للأطفال,كيفية طلب حماية الله للأطفال,How to request the protection of God for children,Cómo solicitar la protección de Dios para los niños,Come richiedere la protezione di Dio per i bambini,بچوں کے لئے خدا کے تحفظ کی درخواست کیسے کریں,Comment demander la protection de Dieu pour les enfants,Wie man den Schutz Gottes für Kinder beantragt,Çocuklar için Tanrı'nın korunması nasıl talep edilir,Как запросить защиту Бога для детей,نحوه درخواست حمایت از خدا برای کودکان
دعاء دخول السوق,دعاء دخول السوق,The supplication of entering the market,La súplica de ingresar al mercado,La supplica di entrare nel mercato,مارکیٹ میں داخل ہونے کی درخواست,La supplication de l'entrée sur le marché,Das Flehen des Eintritts in den Markt,Piyasaya girmenin denemesi,Просьба выхода на рынок,دعای ورود به بازار
ماذا تقول إذا كنت تخشى أن يؤذيك الناس؟,ماذا تقول إذا كنت تخشى أن يؤذيك الناس؟,What do you say if you are afraid that people will harm you?,¿Qué dices si tienes miedo de que la gente te dañe?,Cosa dici se hai paura che le persone ti danneggino?,اگر آپ کو خوف ہے کہ لوگ آپ کو نقصان پہنچائیں گے تو آپ کیا کہیں گے؟,Que dites-vous si vous avez peur que les gens vous nuisent?,"Was sagen Sie, wenn Sie Angst haben, dass die Leute Ihnen schaden?",İnsanların size zarar vereceğinden korkarsanız ne dersin?,"Что вы скажете, если вы боитесь, что люди причинят вам вред?",اگر می ترسید مردم به شما آسیب برساند چه می گویید؟
الدعاء الذي يقال قبل الجماع,الدعاء الذي يقال قبل الجماع,The supplication that is said before sexual intercourse,La súplica que se dice antes de las relaciones sexuales,La supplica che viene detto prima del rapporto sessuale,اس کی درخواست جو جنسی جماع سے پہلے کہی جاتی ہے,La supplication qui est dite avant les rapports sexuels,"Die Flehung, die vor dem Geschlechtsverkehr gesagt wird",Cinsel ilişkiden önce söylenen denetim,"Просьба, которое сказано перед половым актом",دعا که قبل از مقاربت جنسی گفته می شود
الدعاء عند سماع نباح الكلب بالليل,الدعاء عند سماع نباح الكلب بالليل,Supplication when hearing the dog's bark at night,Súplica al escuchar la ladrido del perro por la noche,Supplica quando si sente la corteccia del cane di notte,رات کو کتے کی چھال سنتے وقت درخواست,Supplication lorsque vous entendez l'écorce du chien la nuit,Flehen beim Hören der Rinde des Hundes nachts,Geceleri köpeğin kabuğunu duyurken denetim,"Просьба, услышав кору собаки ночью",دعا هنگام شنیدن پوست سگ در شب
التكبير عند المرور بالحجر الأسود,التكبير عند المرور بالحجر الأسود,Zooming when going through black stone,Zoom al pasar por piedra negra,Zoom quando si attraversa la pietra nera,کالے پتھر سے گزرتے وقت زومنگ,Zoom en passant par la pierre noire,Zooming beim Durchgehen durch den schwarzen Stein,Siyah taştan geçerken yakınlaştırma,Увеличение при прохождении через черный камень,بزرگنمایی هنگام عبور از سنگ سیاه
ماذا يقول المسلم عند مدحه,ماذا يقول المسلم عند مدحه,What does a Muslim say when praising,¿Qué dice un musulmán al alabar?,Cosa dice un musulmano durante lo elogia,تعریف کرتے وقت ایک مسلمان کیا کہتا ہے؟,Que dit un musulman lors de l'éloge,Was sagt ein Muslim beim Lob?,Bir Müslüman övgüde ne diyor?,"Что говорит мусульманин, восхваляя",یک مسلمان هنگام ستایش چه می گوید
ماذا أقول عند الدهشة أو الدهشة,ماذا أقول عند الدهشة أو الدهشة,What do I say when surprising or surprised,¿Qué digo cuando me sorprende o sorprende?,Cosa dico quando sorprendente o sorpreso,حیرت زدہ یا حیران ہونے پر میں کیا کہوں؟,Que dis-je lorsqu'il est surprenant ou surpris,"Was sage ich, wenn ich überraschend oder überrascht?",Şaşırtıcı veya şaşırdıklarında ne diyorum,"Что мне сказать, когда удивительно или удивлен",چه می گویم وقتی تعجب آور یا تعجب آور هستم
بعض أدعية نزول المطر,بعض أدعية نزول المطر,Some of the supplications of rain,Algunas de las súplicas de la lluvia,Alcune delle suppliche di pioggia,بارش کی کچھ فراہمی,Certaines des supplications de la pluie,Einige der Regenflächen des Regens,Yağmurun bazıları,Некоторые из дождей,برخی از دعاوی باران
كيف ينبغي للمسلم أن يمدح مسلما آخر,كيف ينبغي للمسلم أن يمدح مسلما آخر,How should a Muslim praise another Muslim,¿Cómo debería un musulmán alabar a otro musulmán?,Come dovrebbe un musulmano lodare un altro musulmano,ایک مسلمان کو کسی دوسرے مسلمان کی تعریف کیسے کرنی چاہئے,Comment un musulman devrait-il louer un autre musulman,Wie sollte ein Muslim einen anderen Muslim loben?,Bir Müslüman başka bir Müslüman'ı nasıl övmeli,Как мусульманин должен хвалить другого мусульманина,چگونه یک مسلمان باید یک مسلمان دیگر را ستایش کند
ماذا يقول المسلم عند مدحه,ماذا يقول المسلم عند مدحه,What does a Muslim say when praising,¿Qué dice un musulmán al alabar?,Cosa dice un musulmano durante lo elogia,تعریف کرتے وقت ایک مسلمان کیا کہتا ہے؟,Que dit un musulman lors de l'éloge,Was sagt ein Muslim beim Lob?,Bir Müslüman övgüde ne diyor?,"Что говорит мусульманин, восхваляя",یک مسلمان هنگام ستایش چه می گوید
دعاء العطاس,دعاء العطاس,Doaa sneezing,Doaa Storning,Doaa starnuti,doaa چھینک,Doaa éternuer,DOAA Niesen,Doaa hapşırma,Доаа чихание,DOAA عطسه
الدعاء ضد نذير الشر,الدعاء ضد نذير الشر,Supplication against the vow of evil,Súplica contra el voto del mal,Supplica contro il voto del male,برائی کے عہد کے خلاف درخواست,Supplication contre le vœu du mal,Anbietung gegen das Gelübde des Bösen,Kötülüğün yemine karşı destek,Просьба против клятвы зла,دعای علیه نذر شر
نشر تحية السلام (السلام),نشر تحية السلام (السلام),Publishing peace greeting (peace),Publicación de saludo de paz (paz),Pubblicare saluto di pace (pace),پبلشنگ پیس گریٹنگ (امن),Publier la salutation de la paix (paix),Friedensgruß veröffentlichen (Frieden),Barış Tebrik Yayınlanması (Barış),Публикация мира приветствие (мир),انتشار تبریک صلح (صلح)
دعاء يقال له يوم عرفة,دعاء يقال له يوم عرفة,A prayer called on the day of Arafa,Una oración llamada el día de Arafa,Una preghiera chiamata il giorno di Arafa,عرفا کے دن ایک دعا طلب کی گئی,Une prière appelée le jour d'Arafa,"Ein Gebet, das am Tag von Arafa gerufen wurde",Arafa Günü'nde adlandırılan bir dua,"Молитва, призванная в день Арафа",دعایی که به روز عرفا فراخوانده می شود
الدعاء على العدو,الدعاء على العدو,Supplication for the enemy,Súplica para el enemigo,Supplica per il nemico,دشمن کے لئے درخواست,Supplication pour l'ennemi,Flehen für den Feind,Düşman için denetim,Просьба для врага,دعا برای دشمن
دعاء لشخص تكلمت معه بالسوء,دعاء لشخص تكلمت معه بالسوء,A prayer for a person you spoke to him badly,Una oración por una persona que le hablaste mal,Una preghiera per una persona che gli hai parlato male,کسی ایسے شخص کے لئے دعا جس سے آپ نے اس سے بری طرح بات کی,Une prière pour une personne que vous lui avez parlé mal,"Ein Gebet für eine Person, die Sie schlecht mit ihm gesprochen haben",Onunla kötü konuştuğun bir kişi için bir dua,"Молитва за человека, которого вы говорили с ним плохо",دعایی برای شخصی که با او بد صحبت کردید
ماذا تفعل إذا كان لديك حلم سيء أو كابوس,ماذا تفعل إذا كان لديك حلم سيء أو كابوس,What to do if you have a bad dream or a nightmare,Qué hacer si tienes un mal sueño o una pesadilla,Cosa fare se hai un brutto sogno o un incubo,اگر آپ کا برا خواب یا ڈراؤنا خواب ہے تو کیا کریں,Que faire si vous avez un mauvais rêve ou un cauchemar,"Was tun, wenn Sie einen schlechten Traum oder einen Albtraum haben",Kötü bir hayalin veya kabusunuz varsa ne yapmalısınız,"Что делать, если у вас есть плохой сон или кошмар",اگر رویای بد یا کابوس داشته باشید چه کاری باید انجام دهید
دعاء الخوف من الشرك,دعاء الخوف من الشرك,Prayer of fear of polytheism,Oración de miedo al politeísmo,Preghiera della paura del politeismo,کثیر الجہتی خوف کی دعا,Prière de peur du polythéisme,Gebet der Angst vor Polytheismus,Çoktanrıcılık korkusu duası,Молитва страха политеизма,دعای ترس از شرک
دعاء لمن أحسن إليك,دعاء لمن أحسن إليك,A prayer for those who are better for you,Una oración por aquellos que son mejores para ti,Una preghiera per coloro che sono migliori per te,ان لوگوں کے لئے دعا جو آپ کے لئے بہتر ہیں,Une prière pour ceux qui sont meilleurs pour vous,"Ein Gebet für diejenigen, die besser für Sie sind",Sizin için daha iyi olanlar için bir dua,"Молитва за тех, кто лучше для вас",دعایی برای کسانی که برای شما بهتر هستند
tasbeeh,التسبيح,Praise,Elogio,Lode,تعریف,Louer,Lob,Övmek,Хвалить,ستایش
retry,مرة أخرى,once again,otra vez,di nuovo,ایک بار پھر,Encore une fois,Nochmal,bir daha,снова,یک بار دیگر
share,مشاركة,sharing,intercambio,condivisione,اشتراک,partage,Teilen,paylaşım,обмен,تقسیم
asmaa_allah_husna,أسماء الله الحسنى,God Names,Nombres de dios,Nomi di Dio,خدا کے نام,Noms d'Allah,Gott Namen,Allah'ın isimleri,Божьи имена,نام خدا
permission_denied,تم رفض الأذن,permission denied,Permiso denegado,permesso negato,اجازت نہیں دی گئی,permission refusée,Zugriff verweigert,izin reddedildi,доступ запрещен,مجوز رد شد
update_location:,تغير الموقع,Site change,Cambio de sitio,Cambiamento del sito,سائٹ کی تبدیلی,Changement de site,Standortänderung,Site Değişikliği,Изменение сайта,تغییر سایت
choose_the_azan_calculation_method:,أختيار طريقة حساب الأذان,Choose the ears calculating how to calculate,Elija las orejas calculando cómo calcular,Scegli le orecchie che calcolano come calcolare,حساب کتاب کرنے کا حساب کتاب کرنے والے کانوں کا انتخاب کریں,Choisissez les oreilles calculant comment calculer,"Wählen Sie die Ohren aus, die berechnen, wie berechnet wird",Nasıl hesaplanacağını hesaplayan kulakları seçin,"Выберите уши, рассчитывающие, как рассчитать",گوش ها را انتخاب کنید که نحوه محاسبه را محاسبه کنید
change_moazen_voice:,تغيير صوت المؤذن,Change the muezzin voice,Cambiar la voz de muezzin,Cambia la voce muezzin,میوزین آواز کو تبدیل کریں,Changez la voix de Muezzin,Ändern Sie die Muezzin -Stimme,Muezzin sesini değiştir,Изменить голос muezzin,صدای Muezzin را تغییر دهید
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
